title,year,first_author,citations,journal,url,search_page
[HTML][HTML] Reproducible machine learning methods for lung cancer detection using computed tomography images: Algorithm development and validation,2020,KH Yu,41,jmir,"=HYPERLINK(""https://www.jmir.org/2020/8/e16709/"", ""link"")",5
Breast cancer detection based on Gabor-wavelet transform and machine learning methods,2019,A Ghasemzadeh,41,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s13042-018-0837-2"", ""link"")",4
[PDF][PDF] Brain cancer detection from mri: A machine learning approach (tensorflow),2018,A Sawant,40,academia,"=HYPERLINK(""https://www.academia.edu/download/56821877/IRJET-V5I4468.pdf"", ""link"")",3
"Nanostructures for biosensing, with a brief overview on cancer detection, IoT, and the role of machine learning in smart biosensors",2021,A Banerjee,38,mdpi,"=HYPERLINK(""https://www.mdpi.com/993862"", ""link"")",5
Hybrid machine learning model of extreme learning machine radial basis function for breast cancer detection and diagnosis; a multilayer fuzzy expert system,2020,S Mojrian,37,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9140744/"", ""link"")",4
Machine learning-based statistical analysis for early stage detection of cervical cancer,2021,MM Ali,33,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0010482521007794"", ""link"")",10
[PDF][PDF] An Extensive Review on Lung Cancer Detection Using Machine Learning Techniques: A Systematic Study.,2020,ESN Joshua,33,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Midhunchakkaravarthy-Janarthanan/publication/348716152_AN_EXTENSIVE_REVIEW_ON_LUNG_CANCER_DETECTION_USING_MACHINE_LEARNING_TECHNIQUES/links/600c628da6fdccdcb8770ff6/AN-EXTENSIVE-REVIEW-ON-LUNG-CANCER-DETECTION-USING-MACHINE-LEARNING-TECHNIQUES.pdf"", ""link"")",4
Bone cancer detection using machine learning techniques,2020,D Shrivastava,31,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/B9780128179130000171"", ""link"")",3
Thermogram breast cancer detection: A comparative study of two machine learning techniques,2020,F AlFayez,31,mdpi,"=HYPERLINK(""https://www.mdpi.com/615530"", ""link"")",7
[PDF][PDF] Lung cancer detection and classification by using machine learning & multinomial Bayesian,2014,SA Dwivedi,31,academia,"=HYPERLINK(""https://www.academia.edu/download/76771261/0e68ab6884a3b00a1eb8e5eb40ebafc26e06.pdf"", ""link"")",6
"Bias in, bias out: underreporting and underrepresentation of diverse skin types in machine learning research for skin cancer detection—a scoping review",2022,LN Guo,30,jaad,"=HYPERLINK(""https://www.jaad.org/article/S0190-9622(21)02086-7/abstract"", ""link"")",7
A review of most recent lung cancer detection techniques using machine learning,2021,DM Abdullah,29,ideas,"=HYPERLINK(""https://ideas.repec.org/a/aif/journl/v5y2021i3p159-173.html"", ""link"")",2
Machine learning-based lung and colon cancer detection using deep feature extraction and ensemble learning,2022,MA Talukder,26,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0957417422009873"", ""link"")",4
[PDF][PDF] Performance comparison of machine learning techniques for breast cancer detection,2017,DE Gbenga,26,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Emmanuel-Dada/publication/324314367_Performance_Comparison_of_Machine_Learning_Techniques_for_Breast_Cancer_Detection/links/5aca7ec6a6fdcc8bfc84ef0a/Performance-Comparison-of-Machine-Learning-Techniques-for-Breast-Cancer-Detection.pdf"", ""link"")",5
A novel weighted hierarchical adaptive voting ensemble machine learning method for breast cancer detection,2015,C Deng,26,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/7238143/"", ""link"")",9
"LungCAD: a clinically approved, machine learning system for lung cancer detection",2007,RB Rao,26,dl,"=HYPERLINK(""https://dl.acm.org/doi/abs/10.1145/1281192.1281306"", ""link"")",8
Performance analysis of machine learning algorithms for cervical cancer detection,2023,SK Singh,24,igi-global,"=HYPERLINK(""https://www.igi-global.com/chapter/performance-analysis-of-machine-learning-algorithms-for-cervical-cancer-detection/310661"", ""link"")",2
[HTML][HTML] Histologic tissue components provide major cues for machine learning-based prostate cancer detection and grading on prostatectomy specimens,2020,W Han,24,nature,"=HYPERLINK(""https://www.nature.com/articles/s41598-020-66849-2"", ""link"")",7
[HTML][HTML] Effective image processing and segmentation-based machine learning techniques for diagnosis of breast cancer,2022,S Chaudhury,23,hindawi,"=HYPERLINK(""https://www.hindawi.com/journals/cmmm/2022/6841334/"", ""link"")",10
[HTML][HTML] Machine learning assisted cervical cancer detection,2021,M Mehmood,23,frontiersin,"=HYPERLINK(""https://www.frontiersin.org/articles/10.3389/fpubh.2021.788376/full"", ""link"")",2
Bio-imaging-based machine learning algorithm for breast cancer detection,2022,S Safdar,22,mdpi,"=HYPERLINK(""https://www.mdpi.com/1615958"", ""link"")",6
Machine learning protocols in early cancer detection based on liquid biopsy: a survey,2021,L Liu,22,mdpi,"=HYPERLINK(""https://www.mdpi.com/2075-1729/11/7/638"", ""link"")",4
Machine learning and infrared thermography for breast cancer detection,2019,C Gonçalves,21,mdpi,"=HYPERLINK(""https://www.mdpi.com/550178"", ""link"")",5
[HTML][HTML] Comparative analysis of breast cancer detection using machine learning and biosensors,2022,Y Amethiya,20,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2667102621000887"", ""link"")",4
Lung cancer detection and classification from chest CT scans using machine learning techniques,2021,A Rehman,19,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9425269/"", ""link"")",6
Automated lung cancer detection based on multimodal features extracting strategy using machine learning techniques,2019,L Hussain,18,spiedigitallibrary,"=HYPERLINK(""https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10948/109483Q/Automated-lung-cancer-detection-based-on-multimodal-features-extracting-strategy/10.1117/12.2512059.short"", ""link"")",8
[PDF][PDF] Breast cancer detection using machine learning techniques,2021,S Bhise,17,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Shrutika-Gadekar/publication/353285629_Breast_Cancer_Detection_using_Machine_Learning_Techniques/links/60f10f67fb568a7098b20d26/Breast-Cancer-Detection-using-Machine-Learning-Techniques.pdf"", ""link"")",3
Melanoma skin cancer detection using image processing and machine learning techniques,2020,MAA Thaajwer,17,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9357309/"", ""link"")",9
A review on multi-organ cancer detection using advanced machine learning techniques,2021,T Sadad,15,ingentaconnect,"=HYPERLINK(""https://www.ingentaconnect.com/content/ben/cmir/2021/00000017/00000006/art00003"", ""link"")",7
Classification of cervical cancer detection using machine learning algorithms,2021,A Arora,15,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9358570/"", ""link"")",8
[PDF][PDF] Machine learning approaches in cancer detection and diagnosis: mini review,2017,MM Noor,15,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Majid-Noor/publication/320947210_Machine_Learning_Approaches_in_Cancer_Detection_and_Diagnosis_Mini_Review/links/5a0428c4aca272b06ca8131f/Machine-Learning-Approaches-in-Cancer-Detection-and-Diagnosis-Mini-Review.pdf"", ""link"")",8
Performance assessment of machine learning classifiers using selective feature approaches for cervical cancer detection,2022,NK Chauhan,14,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s11277-022-09467-7"", ""link"")",6
A review on automated cancer detection in medical images using machine learning and deep learning based computational techniques: Challenges and …,2021,J Manhas,14,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s11831-021-09676-6"", ""link"")",5
A novel hybrid K-means and GMM machine learning model for breast cancer detection,2021,PE Jebarani,13,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9590488/"", ""link"")",6
[PDF][PDF] Breast cancer detection with machine learning,2022,M Mangukiya,12,academia,"=HYPERLINK(""https://www.academia.edu/download/80342587/Breast_Cancer_Detection_with_Machine_Learning.pdf"", ""link"")",3
[PDF][PDF] Lung cancer detection system using image processing and machine learning techniques,2020,VJ Pawar,12,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Vikul-Pawar/publication/344479889_Lung_Cancer_Detection_System_Using_Image_Processing_and_Machine_Learning_Techniques/links/60276f93a6fdcc37a821b042/Lung-Cancer-Detection-System-Using-Image-Processing-and-Machine-Learning-Techniques.pdf"", ""link"")",9
Machine Learning Frameworks in Cancer Detection,2021,S Pramanik,10,e3s-conferences,"=HYPERLINK(""https://www.e3s-conferences.org/articles/e3sconf/abs/2021/73/e3sconf_iccsre21_01073/e3sconf_iccsre21_01073.html"", ""link"")",9
A melanoma skin cancer detection using machine learning technique: support vector machine,2021,P Banasode,10,iopscience,"=HYPERLINK(""https://iopscience.iop.org/article/10.1088/1757-899X/1065/1/012039/meta"", ""link"")",10
Machine learning-based lungs cancer detection using reconstruction independent component analysis and sparse filter features,2021,L Hussain,10,Francis,"=HYPERLINK(""https://www.tandfonline.com/doi/abs/10.1080/17455030.2021.1905912"", ""link"")",10
Analyzing the impact of machine learning and artificial intelligence and its effect on management of lung cancer detection in covid-19 pandemic,2022,RSK Boddu,9,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2214785321075714"", ""link"")",7
Breast cancer detection using particle swarm optimization and decision tree machine learning technique,2022,JO Afolayan,9,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-981-16-8150-9_4"", ""link"")",9
Breast cancer detection and classification: A comparative analysis using machine learning algorithms,2022,S Sakib,8,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-981-16-8862-1_46"", ""link"")",6
Breast cancer detection using machine learning algorithms,2021,N Sindhwani,8,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9596295/"", ""link"")",6
The machine learning based optimized prediction method for breast cancer detection,2020,N Kumar,8,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9297479/"", ""link"")",7
Machine Learning Approach to Quadratic Programming-Based Microwave Imaging for Breast Cancer Detection,2022,S Costanzo,7,mdpi,"=HYPERLINK(""https://www.mdpi.com/1424-8220/22/11/4122"", ""link"")",7
Modular point-of-care breath analyzer and shape taxonomy-based machine learning for gastric cancer detection,2022,I Polaka,7,mdpi,"=HYPERLINK(""https://www.mdpi.com/1498892"", ""link"")",7
Breast cancer detection and prediction using machine learning,2021,A Chauhan,7,ieeexplore,"=HYPERLINK(""https://ieeexplore.ieee.org/abstract/document/9544687/"", ""link"")",7
Optimized Stacking Ensemble Learning Model for Breast Cancer Detection and Classification Using Machine Learning,2022,M Kumar,6,mdpi,"=HYPERLINK(""https://www.mdpi.com/2071-1050/14/21/13998"", ""link"")",7
[HTML][HTML] State-of-the-art machine learning techniques for melanoma skin cancer detection and classification: a comprehensive review,2022,H Bhatt,6,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S2667102622000754"", ""link"")",8
Hybrid feature fusion and machine learning approaches for melanoma skin cancer detection,2022,MM Rahman,6,preprints,"=HYPERLINK(""https://www.preprints.org/manuscript/202201.0258"", ""link"")",9
Salivary metabolomics with machine learning for colorectal cancer detection,2022,H Kuwabara,5,search,"=HYPERLINK(""https://search.proquest.com/openview/8c7b67b620101ef21dd300ae46f0d338/1?pq-origsite=gscholar&cbl=4378882"", ""link"")",10
[PDF][PDF] Breast cancer detection and diagnosis using machine learning: a survey,2021,RM Al-Tam,5,academia,"=HYPERLINK(""https://www.academia.edu/download/71893326/32.pdf"", ""link"")",6
Breast cancer detection using deep learning and machine learning: a comparative analysis,2021,A Sharma,5,Springer,"=HYPERLINK(""https://link.springer.com/chapter/10.1007/978-981-15-5113-0_39"", ""link"")",9
A review on cancer detection strategies with help of biomedical images using machine learning techniques,2022,E Kumaraswamy,4,aip,"=HYPERLINK(""https://aip.scitation.org/doi/abs/10.1063/5.0081936"", ""link"")",6
[HTML][HTML] The role of machine learning and deep learning approaches for the detection of skin cancer,2023,T Mazhar,3,mdpi,"=HYPERLINK(""https://www.mdpi.com/2227-9032/11/3/415"", ""link"")",8
Skin cancer detection using ensemble of machine learning and deep learning techniques,2023,JV Tembhurne,2,Springer,"=HYPERLINK(""https://link.springer.com/article/10.1007/s11042-023-14697-3"", ""link"")",5
Ovarian cancer detection using optimized machine learning models with adaptive differential evolution,2022,FH Juwono,2,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S174680942200307X"", ""link"")",10
[PDF][PDF] Breast cancer detection using machine learning algorithms,2021,S Hamed,2,researchgate,"=HYPERLINK(""https://www.researchgate.net/profile/Samer-Hamed/publication/356127634_Breast_Cancer_Detection_Using_Machine_Learning_Algorithms/links/61901c1661f09877209078f2/Breast-Cancer-Detection-Using-Machine-Learning-Algorithms.pdf"", ""link"")",8
[HTML][HTML] A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,2023,M Mokoatle,1,…,"=HYPERLINK(""https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05235-x"", ""link"")",1
Breast cancer detection: an effective comparison of different machine learning algorithms on the Wisconsin dataset,2023,MM Hossin,1,beei,"=HYPERLINK(""https://www.beei.org/index.php/EEI/article/view/4448"", ""link"")",8
